"","Notes","state","State.Code","Year","Year.Code","Single.Year.Ages","Single.Year.Ages.Code","Deaths","Population","Crude.Rate"
"1","","Alabama",1,1999,1999,"< 1 year",0,606,58787,"1030.8"
"2","","Alabama",1,1999,1999,"1 year",1,51,58728,"86.8"
"3","","Alabama",1,1999,1999,"2 years",2,31,58538,"53.0"
"4","","Alabama",1,1999,1999,"3 years",3,23,58518,"39.3"
"5","","Alabama",1,1999,1999,"4 years",4,16,60369,"Unreliable"
"6","","Alabama",1,1999,1999,"5 years",5,16,61514,"Unreliable"
"7","","Alabama",1,1999,1999,"6 years",6,22,62429,"35.2"
"8","","Alabama",1,1999,1999,"7 years",7,15,63614,"Unreliable"
"9","","Alabama",1,1999,1999,"8 years",8,13,63183,"Unreliable"
"10","","Alabama",1,1999,1999,"9 years",9,20,65009,"30.8"
"11","","Alabama",1,1999,1999,"10 years",10,21,64518,"32.5"
"12","","Alabama",1,2000,2000,"< 1 year",0,596,59101,"1008.4"
"13","","Alabama",1,2000,2000,"1 year",1,46,59123,"77.8"
"14","","Alabama",1,2000,2000,"2 years",2,27,58875,"45.9"
"15","","Alabama",1,2000,2000,"3 years",3,13,58988,"Unreliable"
"16","","Alabama",1,2000,2000,"4 years",4,11,59905,"Unreliable"
"17","","Alabama",1,2000,2000,"5 years",5,13,60684,"Unreliable"
"18","","Alabama",1,2000,2000,"6 years",6,11,61754,"Unreliable"
"19","","Alabama",1,2000,2000,"7 years",7,10,63471,"Unreliable"
"20","","Alabama",1,2000,2000,"9 years",9,13,65657,"Unreliable"
"21","","Alabama",1,2001,2001,"< 1 year",0,567,61537,"921.4"
"22","","Alabama",1,2001,2001,"1 year",1,40,59329,"67.4"
"23","","Alabama",1,2001,2001,"2 years",2,24,58400,"41.1"
"24","","Alabama",1,2001,2001,"3 years",3,19,58731,"Unreliable"
"25","","Alabama",1,2001,2001,"4 years",4,15,58627,"Unreliable"
"26","","Alabama",1,2001,2001,"5 years",5,14,59383,"Unreliable"
"27","","Alabama",1,2001,2001,"6 years",6,12,60455,"Unreliable"
"28","","Alabama",1,2001,2001,"8 years",8,18,62828,"Unreliable"
"29","","Alabama",1,2001,2001,"9 years",9,14,63519,"Unreliable"
"30","","Alabama",1,2001,2001,"10 years",10,11,65611,"Unreliable"
"31","","Alabama",1,2002,2002,"< 1 year",0,539,58963,"914.1"
"32","","Alabama",1,2002,2002,"1 year",1,31,60893,"50.9"
"33","","Alabama",1,2002,2002,"2 years",2,21,59220,"35.5"
"34","","Alabama",1,2002,2002,"3 years",3,25,58365,"42.8"
"35","","Alabama",1,2002,2002,"4 years",4,25,58605,"42.7"
"36","","Alabama",1,2002,2002,"5 years",5,17,58624,"Unreliable"
"37","","Alabama",1,2002,2002,"7 years",7,12,60451,"Unreliable"
"38","","Alabama",1,2002,2002,"8 years",8,13,61253,"Unreliable"
"39","","Alabama",1,2002,2002,"9 years",9,10,63151,"Unreliable"
"40","","Alabama",1,2002,2002,"10 years",10,14,64274,"Unreliable"
"41","","Alabama",1,2003,2003,"< 1 year",0,519,58021,"894.5"
"42","","Alabama",1,2003,2003,"1 year",1,34,58528,"58.1"
"43","","Alabama",1,2003,2003,"2 years",2,27,61047,"44.2"
"44","","Alabama",1,2003,2003,"3 years",3,19,59264,"Unreliable"
"45","","Alabama",1,2003,2003,"4 years",4,16,58344,"Unreliable"
"46","","Alabama",1,2003,2003,"5 years",5,12,58926,"Unreliable"
"47","","Alabama",1,2003,2003,"6 years",6,13,58470,"Unreliable"
"48","","Alabama",1,2003,2003,"7 years",7,12,59494,"Unreliable"
"49","","Alabama",1,2003,2003,"8 years",8,19,60392,"Unreliable"
"50","","Alabama",1,2003,2003,"10 years",10,11,64354,"Unreliable"
"51","","Alabama",1,2004,2004,"< 1 year",0,516,58927,"875.7"
"52","","Alabama",1,2004,2004,"1 year",1,34,57357,"59.3"
"53","","Alabama",1,2004,2004,"2 years",2,32,58821,"54.4"
"54","","Alabama",1,2004,2004,"3 years",3,17,61315,"Unreliable"
"55","","Alabama",1,2004,2004,"4 years",4,23,59550,"38.6"
"56","","Alabama",1,2004,2004,"5 years",5,14,58861,"Unreliable"
"57","","Alabama",1,2004,2004,"7 years",7,10,59048,"Unreliable"
"58","","Alabama",1,2005,2005,"< 1 year",0,568,59424,"955.8"
"59","","Alabama",1,2005,2005,"1 year",1,30,58240,"51.5"
"60","","Alabama",1,2005,2005,"2 years",2,25,57796,"43.3"
"61","","Alabama",1,2005,2005,"3 years",3,18,59416,"Unreliable"
"62","","Alabama",1,2005,2005,"4 years",4,14,61565,"Unreliable"
"63","","Alabama",1,2005,2005,"6 years",6,11,58915,"Unreliable"
"64","","Alabama",1,2005,2005,"7 years",7,12,59673,"Unreliable"
"65","","Alabama",1,2005,2005,"8 years",8,12,59048,"Unreliable"
"66","","Alabama",1,2005,2005,"10 years",10,11,63149,"Unreliable"
"67","","Alabama",1,2006,2006,"< 1 year",0,571,60823,"938.8"
"68","","Alabama",1,2006,2006,"1 year",1,42,58451,"71.9"
"69","","Alabama",1,2006,2006,"2 years",2,31,59233,"52.3"
"70","","Alabama",1,2006,2006,"3 years",3,18,58569,"Unreliable"
"71","","Alabama",1,2006,2006,"4 years",4,12,60146,"Unreliable"
"72","","Alabama",1,2006,2006,"5 years",5,14,62772,"Unreliable"
"73","","Alabama",1,2006,2006,"6 years",6,12,60389,"Unreliable"
"74","","Alabama",1,2006,2006,"7 years",7,11,60090,"Unreliable"
"75","","Alabama",1,2006,2006,"8 years",8,10,59866,"Unreliable"
"76","","Alabama",1,2006,2006,"9 years",9,17,60464,"Unreliable"
"77","","Alabama",1,2007,2007,"< 1 year",0,641,62907,"1019.0"
"78","","Alabama",1,2007,2007,"1 year",1,27,59387,"45.5"
"79","","Alabama",1,2007,2007,"2 years",2,16,59092,"Unreliable"
